league_name,club_name,year,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_2_years_future,Rk_2_years_future,W_2_years_future,D_2_years_future,L_2_years_future,GF_2_years_future,GA_2_years_future,GD_2_years_future,Pts/MP_2_years_future,PF_next_3_years
Ligue 1,AS Monaco,2013,2,23,11,4,63,31,32,2.11,0,0.0,3.0,20.0,11.0,7.0,51.0,26.0,25.0,1.87,0.0,3.0,17.0,14.0,7.0,57.0,50.0,7.0,1.71,0.0
Ligue 1,FC Girondins Bordeaux,2013,7,13,14,11,49,43,6,1.39,1,0.0,6.0,17.0,12.0,9.0,47.0,44.0,3.0,1.66,1.0,11.0,12.0,14.0,12.0,50.0,57.0,-7.0,1.32,0.0
Ligue 1,FC Lorient,2013,8,13,10,15,48,53,-5,1.29,1,2.0,16.0,12.0,7.0,19.0,44.0,50.0,-6.0,1.13,2.0,15.0,11.0,13.0,14.0,47.0,58.0,-11.0,1.21,2.0
Ligue 1,FC Toulouse,2013,9,12,13,13,46,53,-7,1.29,1,2.0,17.0,12.0,6.0,20.0,43.0,64.0,-21.0,1.11,2.0,17.0,9.0,13.0,16.0,45.0,55.0,-10.0,1.05,1.0
Ligue 1,SC Bastia,2013,10,13,10,15,42,56,-14,1.29,1,1.0,12.0,12.0,11.0,15.0,37.0,46.0,-9.0,1.24,1.0,10.0,14.0,8.0,16.0,36.0,42.0,-6.0,1.32,2.0
Ligue 1,Stade Rennais FC,2013,12,11,13,14,47,45,2,1.21,1,1.0,9.0,13.0,11.0,14.0,35.0,42.0,-7.0,1.32,1.0,8.0,13.0,13.0,12.0,52.0,54.0,-2.0,1.37,1.0
Ligue 1,Stade Reims,2013,11,12,12,14,44,52,-8,1.26,1,2.0,15.0,12.0,8.0,18.0,47.0,66.0,-19.0,1.16,2.0,18.0,10.0,9.0,19.0,44.0,57.0,-13.0,1.03,1.0
Ligue 1,FC Évian Thonon Gaillard,2013,14,11,11,16,39,51,-12,1.16,1,2.0,18.0,11.0,4.0,23.0,41.0,62.0,-21.0,0.97,1.0,14.0,11.0,11.0,16.0,39.0,51.0,-12.0,1.16,1.0
Ligue 1,FC Nantes,2013,13,12,10,16,38,43,-5,1.21,1,1.0,14.0,11.0,12.0,15.0,29.0,40.0,-11.0,1.18,1.0,14.0,12.0,12.0,14.0,33.0,44.0,-11.0,1.26,1.0
Ligue 1,OGC Nice,2013,17,12,6,20,30,44,-14,1.11,2,1.0,11.0,13.0,9.0,16.0,44.0,53.0,-9.0,1.26,0.0,4.0,18.0,9.0,11.0,58.0,41.0,17.0,1.66,0.0
Ligue 1,Montpellier HSC,2013,15,8,18,12,45,53,-8,1.11,2,1.0,7.0,16.0,8.0,14.0,46.0,39.0,7.0,1.47,1.0,12.0,14.0,7.0,17.0,49.0,47.0,2.0,1.29,2.0
Ligue 1,Valenciennes FC,2013,19,7,8,23,37,65,-28,0.76,2,2.0,19.0,7.0,8.0,23.0,37.0,65.0,-28.0,0.76,2.0,19.0,7.0,8.0,23.0,37.0,65.0,-28.0,0.76,2.0
Ligue 1,FC Sochaux-Montbéliard,2013,18,10,10,18,37,61,-24,1.05,2,2.0,18.0,10.0,10.0,18.0,37.0,61.0,-24.0,1.05,2.0,18.0,10.0,10.0,18.0,37.0,61.0,-24.0,1.05,2.0
Ligue 1,AC Ajaccio,2013,20,4,11,23,37,72,-35,0.61,2,2.0,20.0,4.0,11.0,23.0,37.0,72.0,-35.0,0.61,2.0,20.0,4.0,11.0,23.0,37.0,72.0,-35.0,0.61,2.0
Ligue 1,EA Guingamp,2013,16,11,9,18,34,42,-8,1.11,2,1.0,10.0,15.0,4.0,19.0,41.0,55.0,-14.0,1.29,2.0,16.0,11.0,11.0,16.0,47.0,56.0,-9.0,1.16,1.0
Ligue 1,FC Girondins Bordeaux,2014,6,17,12,9,47,44,3,1.66,0,1.0,11.0,12.0,14.0,12.0,50.0,57.0,-7.0,1.32,0.0,6.0,15.0,14.0,9.0,53.0,43.0,10.0,1.55,0.0
Ligue 1,Olympique Lyon,2014,2,22,9,7,72,33,39,1.97,0,0.0,2.0,19.0,8.0,11.0,67.0,43.0,24.0,1.71,0.0,4.0,21.0,4.0,13.0,77.0,48.0,29.0,1.76,0.0
Ligue 1,Olympique Marseille,2014,4,21,6,11,76,42,34,1.82,0,1.0,13.0,10.0,18.0,10.0,48.0,42.0,6.0,1.26,0.0,5.0,17.0,11.0,10.0,57.0,41.0,16.0,1.63,0.0
Ligue 1,AS Monaco,2014,3,20,11,7,51,26,25,1.87,0,0.0,3.0,17.0,14.0,7.0,57.0,50.0,7.0,1.71,0.0,1.0,30.0,5.0,3.0,107.0,31.0,76.0,2.5,0.0
Ligue 1,Paris Saint-Germain,2014,1,24,11,3,83,36,47,2.18,0,0.0,1.0,30.0,6.0,2.0,102.0,19.0,83.0,2.53,0.0,2.0,27.0,6.0,5.0,83.0,27.0,56.0,2.29,0.0
Ligue 1,AS Saint-Étienne,2014,5,19,12,7,51,30,21,1.82,0,0.0,6.0,17.0,7.0,14.0,42.0,37.0,5.0,1.53,1.0,8.0,12.0,14.0,12.0,41.0,42.0,-1.0,1.32,1.0
Ligue 1,SC Bastia,2014,12,12,11,15,37,46,-9,1.24,1,1.0,10.0,14.0,8.0,16.0,36.0,42.0,-6.0,1.32,2.0,20.0,8.0,10.0,20.0,29.0,54.0,-25.0,0.89,1.0
Ligue 1,SM Caen,2014,13,12,10,16,54,55,-1,1.21,1,1.0,7.0,16.0,6.0,16.0,39.0,52.0,-13.0,1.42,2.0,17.0,10.0,7.0,21.0,36.0,65.0,-29.0,0.97,2.0
Ligue 1,EA Guingamp,2014,10,15,4,19,41,55,-14,1.29,1,2.0,16.0,11.0,11.0,16.0,47.0,56.0,-9.0,1.16,1.0,10.0,14.0,8.0,16.0,46.0,53.0,-7.0,1.32,1.0
Ligue 1,Montpellier HSC,2014,7,16,8,14,46,39,7,1.47,1,1.0,12.0,14.0,7.0,17.0,49.0,47.0,2.0,1.29,2.0,15.0,10.0,9.0,19.0,48.0,66.0,-18.0,1.03,1.0
Ligue 1,FC Nantes,2014,14,11,12,15,29,40,-11,1.18,1,1.0,14.0,12.0,12.0,14.0,33.0,44.0,-11.0,1.26,1.0,7.0,14.0,9.0,15.0,40.0,54.0,-14.0,1.34,1.0
Ligue 1,OGC Nice,2014,11,13,9,16,44,53,-9,1.26,1,0.0,4.0,18.0,9.0,11.0,58.0,41.0,17.0,1.66,0.0,3.0,22.0,12.0,4.0,63.0,36.0,27.0,2.05,1.0
