league_name,club_name,year,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_2_years_future,Rk_2_years_future,W_2_years_future,D_2_years_future,L_2_years_future,GF_2_years_future,GA_2_years_future,GD_2_years_future,Pts/MP_2_years_future,PF_next_3_years
Primera Division,Athletic Bilbao,2014,7,15,10,13,42,41,1,1.45,1,0,5,18,8,12,58,45,13,1.63,0,5,18,8,12,58,45,13,1.63,0
Primera Division,Elche CF,2014,13,11,8,19,35,62,-27,1.08,1,1,13,11,8,19,35,62,-27,1.08,1,13,11,8,19,35,62,-27,1.08,1
Primera Division,Levante UD,2014,14,9,10,19,34,67,-33,0.97,1,2,20,8,8,22,37,70,-33,0.84,2,20,8,8,22,37,70,-33,0.84,2
Primera Division,Málaga CF,2014,9,14,8,16,42,48,-6,1.32,1,1,8,12,12,14,38,35,3,1.26,1,11,12,10,16,49,55,-6,1.21,1
Primera Division,RCD Espanyol Barcelona,2014,10,13,10,15,47,51,-4,1.29,1,1,13,12,7,19,40,74,-34,1.13,1,8,15,11,12,49,50,-1,1.47,1
Primera Division,Rayo Vallecano,2014,11,15,4,19,46,68,-22,1.29,1,2,18,9,11,18,52,73,-21,1.0,2,18,9,11,18,52,73,-21,1.0,2
Primera Division,Real Sociedad,2014,12,11,13,14,44,51,-7,1.21,1,1,9,13,9,16,45,48,-3,1.26,0,6,19,7,12,59,53,6,1.68,1
Primera Division,Córdoba CF,2014,20,3,11,24,22,68,-46,0.53,2,2,20,3,11,24,22,68,-46,0.53,2,20,3,11,24,22,68,-46,0.53,2
Primera Division,Deportivo de La Coruña,2014,16,7,14,17,35,60,-25,0.92,2,2,15,8,18,12,45,61,-16,1.11,2,16,8,12,18,43,61,-18,0.95,2
Primera Division,Getafe CF,2014,15,10,7,21,33,64,-31,0.97,2,2,19,9,9,20,37,67,-30,0.95,2,19,9,9,20,37,67,-30,0.95,1
Primera Division,Granada CF,2014,17,7,14,17,29,64,-35,0.92,2,2,16,10,9,19,46,69,-23,1.03,2,20,4,8,26,30,82,-52,0.53,2
Primera Division,SD Eibar,2014,18,9,8,21,34,55,-21,0.92,2,1,14,11,10,17,49,61,-12,1.13,1,10,15,9,14,56,51,5,1.42,1
Primera Division,UD Almería,2014,19,8,8,22,35,64,-29,0.76,2,2,19,8,8,22,35,64,-29,0.76,2,19,8,8,22,35,64,-29,0.76,2
Primera Division,Athletic Bilbao,2015,5,18,8,12,58,45,13,1.63,0,0,5,18,8,12,58,45,13,1.63,2,16,10,13,15,41,49,-8,1.13,1
Primera Division,FC Barcelona,2015,1,29,4,5,112,29,83,2.39,0,0,2,28,6,4,116,37,79,2.37,0,1,28,9,1,99,29,70,2.45,0
Primera Division,Real Madrid,2015,2,28,6,4,110,34,76,2.37,0,0,1,29,6,3,106,41,65,2.45,0,3,22,10,6,94,44,50,2.0,0
Primera Division,Villarreal CF,2015,4,18,10,10,44,35,9,1.68,0,0,5,19,10,9,56,33,23,1.76,0,5,18,7,13,57,50,7,1.61,1
Primera Division,Málaga CF,2015,8,12,12,14,38,35,3,1.26,1,1,11,12,10,16,49,55,-6,1.21,2,20,5,5,28,24,61,-37,0.53,2
Primera Division,RCD Espanyol Barcelona,2015,13,12,7,19,40,74,-34,1.13,1,1,8,15,11,12,49,50,-1,1.47,1,11,12,13,13,36,42,-6,1.29,1
Primera Division,Real Betis Balompié,2015,10,11,12,15,34,52,-18,1.18,1,2,15,10,9,19,41,64,-23,1.03,0,6,18,6,14,60,61,-1,1.58,1
Primera Division,Real Sociedad,2015,9,13,9,16,45,48,-3,1.26,1,0,6,19,7,12,59,53,6,1.68,1,12,14,7,17,66,59,7,1.29,1
