accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc_macro,Modelo,dataset,duration,league,model
0.4482758620689655,0.4398148148148149,0.6180555555555556,0.4398148148148149,0.3996296296296296,0.6852863367569251,Ensemble,data_1,3years,la_liga,Ensemble
0.7241379310344828,0.7431818181818182,0.7281237281237282,0.7431818181818182,0.7205645543241451,0.8342111592111593,Ensemble,data_1,3years,la_liga,Ensemble
0.6428571428571429,0.6721380471380471,0.6464646464646465,0.6721380471380471,0.6358101135190918,0.8119855026008277,Ensemble,data_1,3years,la_liga,Ensemble
0.5714285714285714,0.6115319865319866,0.5805555555555556,0.6115319865319866,0.5694444444444445,0.7275229722404646,Ensemble,data_1,3years,la_liga,Ensemble
0.53125,0.5316239316239316,0.5443223443223443,0.5316239316239316,0.518925518925519,0.7157829245929932,Ensemble,data_1,3years,ligue_1_fr,Ensemble
0.6774193548387096,0.6648148148148149,0.7060185185185185,0.6648148148148149,0.6727652464494569,0.8787233234601656,Ensemble,data_1,3years,ligue_1_fr,Ensemble
0.6129032258064516,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.768971768971769,Ensemble,data_1,3years,ligue_1_fr,Ensemble
0.6129032258064516,0.566951566951567,0.785024154589372,0.566951566951567,0.5656565656565656,0.8047138047138048,Ensemble,data_1,3years,ligue_1_fr,Ensemble
0.5483870967741935,0.5498575498575499,0.5428571428571428,0.5498575498575499,0.5434535412605588,0.7451437451437452,Ensemble,data_1,3years,ligue_1_fr,Ensemble
0.78125,0.7860398860398861,0.7936507936507936,0.7860398860398861,0.7888239116309291,0.8994682789877299,SVM,data_1,3years,premier_league,SVM
0.71875,0.6891737891737891,0.7660818713450293,0.6891737891737891,0.7022875816993465,0.797040788688386,SVM,data_1,3years,premier_league,SVM
0.78125,0.7833333333333333,0.7951631701631702,0.7833333333333333,0.784973544973545,0.9031565656565657,SVM,data_1,3years,premier_league,SVM
0.625,0.6464387464387464,0.6355218855218855,0.6464387464387464,0.6345029239766081,0.8147047841555851,SVM,data_1,3years,premier_league,SVM
0.5625,0.5988603988603988,0.5532763532763533,0.5988603988603988,0.5636363636363636,0.7665514797093745,SVM,data_1,3years,premier_league,SVM
0.53125,0.5276353276353276,0.5595959595959595,0.5276353276353276,0.5349206349206349,0.7268821228775462,Ensemble,data_1,3years,serie_a_it,Ensemble
0.6875,0.6940170940170941,0.6848484848484849,0.6940170940170941,0.6867167919799497,0.7946022153115976,Ensemble,data_1,3years,serie_a_it,Ensemble
0.53125,0.5277777777777778,0.5398148148148149,0.5277777777777778,0.5295646523716698,0.7109848484848486,Ensemble,data_1,3years,serie_a_it,Ensemble
0.625,0.6387464387464387,0.635042735042735,0.6387464387464387,0.6356275303643725,0.7658186630726677,Ensemble,data_1,3years,serie_a_it,Ensemble
0.53125,0.5427350427350427,0.5627705627705627,0.5427350427350427,0.5442265795206972,0.7324498875986288,Ensemble,data_1,3years,serie_a_it,Ensemble
0.5826086956521739,0.5876945749286174,0.5930250305250305,0.5876945749286174,0.5883761241828541,0.7495845108183703,SVM,data_1,5years,all_leagues,SVM
0.6,0.5988701605722883,0.601455733808675,0.5988701605722883,0.6000924577583616,0.7515838754554833,SVM,data_1,5years,all_leagues,SVM
0.6086956521739131,0.6265696478462436,0.6107821089455273,0.6265696478462436,0.6121341957456159,0.8049894395807732,SVM,data_1,5years,all_leagues,SVM
0.5565217391304348,0.5290350311626907,0.5952539055673994,0.5290350311626907,0.5258033541010697,0.7678596264503191,SVM,data_1,5years,all_leagues,SVM
0.6228070175438597,0.6273668360624882,0.6343997058282773,0.6273668360624882,0.629177451826287,0.7678606526629256,SVM,data_1,5years,all_leagues,SVM
0.6363636363636364,0.5962962962962962,0.7777777777777778,0.5962962962962962,0.6178266178266177,0.7230960760372525,RandomForest,data_1,5years,bundesliga,RandomForest
0.7272727272727273,0.6857142857142856,0.7301587301587301,0.6857142857142856,0.6948051948051948,0.7792016806722688,RandomForest,data_1,5years,bundesliga,RandomForest
0.5909090909090909,0.5380952380952381,0.5315656565656565,0.5380952380952381,0.5277777777777778,0.6651493930905695,RandomForest,data_1,5years,bundesliga,RandomForest
0.7619047619047619,0.6833333333333332,0.6694444444444444,0.6833333333333332,0.673015873015873,0.7352795663720033,RandomForest,data_1,5years,bundesliga,RandomForest
0.5714285714285714,0.565079365079365,0.5984848484848485,0.565079365079365,0.5760683760683761,0.7666635172587554,RandomForest,data_1,5years,bundesliga,RandomForest
0.7727272727272727,0.7738095238095238,0.7936507936507936,0.7738095238095238,0.7810816634346046,0.8663690476190476,AdaBoost_DT,data_1,5years,la_liga,AdaBoost_DT
0.6363636363636364,0.636904761904762,0.6527777777777778,0.636904761904762,0.6425213675213675,0.7350198412698413,AdaBoost_DT,data_1,5years,la_liga,AdaBoost_DT
0.6363636363636364,0.6349206349206349,0.7056277056277057,0.6349206349206349,0.6571428571428571,0.8001004782254783,AdaBoost_DT,data_1,5years,la_liga,AdaBoost_DT
0.5,0.5317460317460317,0.5277777777777778,0.5317460317460317,0.5287581699346405,0.7055720899470899,AdaBoost_DT,data_1,5years,la_liga,AdaBoost_DT
0.8095238095238095,0.7936507936507936,0.8535353535353535,0.7936507936507936,0.803778677462888,0.8688448456305599,AdaBoost_DT,data_1,5years,la_liga,AdaBoost_DT
0.625,0.6,0.7333333333333333,0.6,0.6184615384615385,0.8317927170868348,Ensemble,data_1,5years,ligue_1_fr,Ensemble
0.5833333333333334,0.5666666666666665,0.7222222222222222,0.5666666666666665,0.5277777777777778,0.827170868347339,Ensemble,data_1,5years,ligue_1_fr,Ensemble
0.5217391304347826,0.5380952380952381,0.5291005291005291,0.5380952380952381,0.5322922691343744,0.7971755368814192,Ensemble,data_1,5years,ligue_1_fr,Ensemble
0.4782608695652174,0.4814814814814814,0.4926406926406927,0.4814814814814814,0.4825396825396825,0.7162698412698413,Ensemble,data_1,5years,ligue_1_fr,Ensemble
0.782608695652174,0.7830687830687831,0.8166666666666668,0.7830687830687831,0.7900584795321638,0.8015873015873015,Ensemble,data_1,5years,ligue_1_fr,Ensemble
0.6666666666666666,0.671957671957672,0.6551226551226551,0.671957671957672,0.6524966261808367,0.7901317239858906,Ensemble,data_1,5years,premier_league,Ensemble
0.75,0.7571428571428571,0.7888888888888889,0.7571428571428571,0.7611111111111111,0.9155462184873949,Ensemble,data_1,5years,premier_league,Ensemble
0.625,0.6428571428571429,0.6256613756613757,0.6428571428571429,0.6325814536340852,0.8039215686274509,Ensemble,data_1,5years,premier_league,Ensemble
0.625,0.6571428571428571,0.6164021164021164,0.6571428571428571,0.6263071895424837,0.8355742296918768,Ensemble,data_1,5years,premier_league,Ensemble
0.5833333333333334,0.5899470899470899,0.6197691197691197,0.5899470899470899,0.6008547008547008,0.8733248391949372,Ensemble,data_1,5years,premier_league,Ensemble
0.5,0.5158730158730158,0.5185185185185185,0.5158730158730158,0.5099206349206349,0.7412262358647163,Ensemble,data_1,5years,serie_a_it,Ensemble
0.5416666666666666,0.5904761904761905,0.5333333333333333,0.5904761904761905,0.5266106442577031,0.7585434173669467,Ensemble,data_1,5years,serie_a_it,Ensemble
0.5416666666666666,0.5619047619047619,0.5416666666666666,0.5619047619047619,0.5481481481481482,0.7408963585434174,Ensemble,data_1,5years,serie_a_it,Ensemble
0.4583333333333333,0.5095238095238095,0.4259259259259259,0.5095238095238095,0.4284750337381917,0.696638655462185,Ensemble,data_1,5years,serie_a_it,Ensemble
0.5416666666666666,0.5502645502645502,0.5515873015873015,0.5502645502645502,0.5131313131313131,0.7233919493723415,Ensemble,data_1,5years,serie_a_it,Ensemble
0.6424870466321243,0.6427396486129191,0.6862906118027651,0.6427396486129191,0.6522781252114723,0.8380656504762749,Ensemble,data_2,1year,all_leagues,Ensemble
0.6632124352331606,0.6614600529010174,0.6896330654242538,0.6614600529010174,0.6697191697191697,0.8443771663784948,Ensemble,data_2,1year,all_leagues,Ensemble
0.6321243523316062,0.6368386898459647,0.6419635153457414,0.6368386898459647,0.6369463332272131,0.8125461704590228,Ensemble,data_2,1year,all_leagues,Ensemble
0.6614583333333334,0.6577124696435265,0.7122411285223497,0.6577124696435265,0.6674156371297603,0.8176186667914599,Ensemble,data_2,1year,all_leagues,Ensemble
0.6927083333333334,0.693892508561424,0.7210002279943725,0.693892508561424,0.7004061030548158,0.8435228180363255,Ensemble,data_2,1year,all_leagues,Ensemble
0.5,0.5095238095238095,0.5371794871794872,0.5095238095238095,0.5081481481481481,0.6940573315573316,Ensemble,data_2,1year,bundesliga,Ensemble
0.4722222222222222,0.4741647241647242,0.4907407407407408,0.4741647241647242,0.4801587301587302,0.6787117411573934,Ensemble,data_2,1year,bundesliga,Ensemble
0.6944444444444444,0.7000777000777001,0.7056277056277057,0.7000777000777001,0.7021421948958181,0.8503570825309956,Ensemble,data_2,1year,bundesliga,Ensemble
0.6388888888888888,0.6645021645021645,0.6527777777777778,0.6645021645021645,0.6389010881764504,0.8183116883116882,Ensemble,data_2,1year,bundesliga,Ensemble
