league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,PF,Rk,W,D,L,GF,GA,GD,Pts/MP,PF_next_3_years
Ligue 1,OGC Nice,2010,1.7,0.567,25.333,0.0,0.0,0.0,0,1.4,0.7,22.5,2,0.0,0.0,0.0,0,0.3,0.3,31.0,1,23.0,7.667,22.667,0.0,0.0,0.0,0,4.0,4.0,23.0,1,0.0,0.0,0.0,0,19.0,9.5,22.5,2,2,17,11,13,14,33,48,-15,1.21,2
Ligue 1,RC Lens,2010,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,8.315,2.772,25.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.315,0.315,23.0,1,8.0,4.0,26.0,2,2,19,7,14,17,35,58,-23,0.92,2
Ligue 1,SM Caen,2010,4.2,2.1,22.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,3.0,3.0,21.0,1,1.2,1.2,23.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2,15,11,13,14,46,51,-5,1.21,2
Ligue 1,Stade Brestois 29,2010,3.8,0.543,24.429,0.0,0.0,0.0,0,1.6,0.533,23.667,3,1.0,0.5,24.5,2,1.2,0.6,25.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2,16,11,13,14,36,43,-7,1.21,2
Ligue 1,FC Girondins Bordeaux,2011,4.0,2.0,26.0,0.0,0.0,0.0,0,3.0,3.0,25.0,1,1.0,1.0,27.0,1,0.0,0.0,0.0,0,12.5,4.167,29.333,0.0,0.0,0.0,0,0.0,0.0,0.0,0,12.5,4.167,29.333,3,0.0,0.0,0.0,0,0,5,16,13,9,53,41,12,1.61,0
Ligue 1,LOSC Lille,2011,23.4,2.925,25.375,0.0,0.0,0.0,0,2.2,0.733,29.0,3,10.5,5.25,27.0,2,10.7,3.567,20.667,3,36.9,5.271,25.429,0.0,0.0,0.0,0,8.0,4.0,25.0,2,6.0,3.0,26.0,2,22.9,7.633,25.333,3,0,3,21,11,6,72,39,33,1.95,1
Ligue 1,Montpellier HSC,2011,2.0,2.0,27.0,0.0,0.0,0.0,0,2.0,2.0,27.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.0,2.0,30.0,0.0,0.0,0.0,0,2.0,2.0,30.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,25,7,6,68,34,34,2.16,1
Ligue 1,Olympique Lyon,2011,4.6,1.533,22.333,0.0,0.0,0.0,0,2.8,1.4,23.5,2,1.8,1.8,20.0,1,0.0,0.0,0.0,0,22.0,11.0,24.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,22.0,11.0,24.0,2,0.0,0.0,0.0,0,0,4,19,7,12,64,51,13,1.68,0
Ligue 1,Paris Saint-Germain,2011,107.1,9.736,26.273,3.9,3.9,24.0,1,14.7,3.675,29.0,4,69.5,17.375,25.25,4,19.0,9.5,24.0,2,9.4,2.35,23.0,0.0,0.0,0.0,0,0.5,0.5,21.0,1,2.3,1.15,23.5,2,6.6,6.6,24.0,1,0,2,23,10,5,75,41,34,2.08,0
Ligue 1,Stade Rennais FC,2011,16.8,3.36,25.6,0.0,0.0,0.0,0,1.0,1.0,20.0,1,4.0,4.0,28.0,1,11.8,3.933,26.667,3,5.5,1.375,22.5,0.0,0.0,0.0,0,1.5,1.5,22.0,1,2.5,1.25,23.5,2,1.5,1.5,21.0,1,0,6,17,9,12,53,44,9,1.58,1
Ligue 1,AS Nancy-Lorraine,2011,5.35,1.07,23.4,0.8,0.8,25.0,1,0.0,0.0,0.0,0,1.9,0.95,24.0,2,2.65,1.325,22.0,2,9.6,1.6,26.333,0.0,0.0,0.0,0,0.7,0.35,27.5,2,7.2,2.4,24.0,3,1.7,1.7,31.0,1,1,11,11,12,15,38,48,-10,1.18,2
Ligue 1,AS Saint-Étienne,2011,16.1,1.61,25.1,3.0,3.0,24.0,1,2.3,1.15,29.0,2,3.3,1.65,25.0,2,7.5,1.5,23.8,5,28.86,3.608,25.0,0.0,0.0,0.0,0,0.46,0.46,32.0,1,18.0,4.5,24.25,4,10.4,3.467,23.667,3,1,7,16,9,13,49,45,4,1.5,0
Ligue 1,FC Sochaux-Montbéliard,2011,5.25,1.312,20.5,0.0,0.0,0.0,0,3.5,1.75,20.0,2,0.0,0.0,0.0,0,1.75,0.875,21.0,2,11.5,5.75,23.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.5,2.5,25.0,1,9.0,9.0,22.0,1,1,14,11,9,18,40,60,-20,1.11,2
Ligue 1,FC Toulouse,2011,13.34,2.668,23.0,0.0,0.0,0.0,0,3.54,1.18,22.0,3,0.0,0.0,0.0,0,9.8,4.9,24.5,2,4.8,1.6,25.333,0.0,0.0,0.0,0,0.45,0.45,29.0,1,0.0,0.0,0.0,0,4.35,2.175,23.5,2,1,8,15,11,12,37,34,3,1.47,2
