league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,PF,Rk,W,D,L,GF,GA,GD,Pts/MP,PF_next_5_years
Serie A,Bologna FC 1909,2010,22.51,1.608,22.857,0.0,0.0,0.0,0,5.45,1.817,25.0,3,10.66,1.777,22.333,6,6.4,1.28,22.2,5,8.2,2.733,24.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.6,0.6,23.0,1,7.6,3.8,24.5,2,2,16,11,12,15,35,52,-17,1.11,1
Serie A,Brescia Calcio,2010,8.25,1.65,22.4,0.0,0.0,0.0,0,0.75,0.75,19.0,1,3.0,1.5,24.5,2,4.5,2.25,22.0,2,7.65,3.825,26.0,0.0,0.0,0.0,0,7.65,3.825,26.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2,19,7,11,20,34,52,-18,0.84,2
Serie A,UC Sampdoria,2010,25.805,2.15,24.167,2.5,2.5,24.0,1,2.38,0.595,24.5,4,4.0,4.0,23.0,1,16.925,2.821,24.167,6,27.0,4.5,25.667,0.0,0.0,0.0,0,0.3,0.3,29.0,1,0.2,0.2,27.0,1,26.5,6.625,24.5,4,2,18,8,12,18,33,49,-16,0.95,2
Serie A,US Lecce,2010,4.8,0.96,26.0,0.0,0.0,0.0,0,0.9,0.45,23.0,2,2.9,1.45,26.5,2,1.0,1.0,31.0,1,1.541,0.514,25.0,0.0,0.0,0.0,0,0.75,0.75,24.0,1,0.391,0.391,27.0,1,0.4,0.4,24.0,1,2,17,11,8,19,46,66,-20,1.08,2
Serie A,AC Milan,2011,65.15,6.515,23.9,3.5,3.5,29.0,1,0.55,0.55,27.0,1,13.55,3.388,22.5,4,47.55,11.888,23.25,4,22.3,5.575,23.25,0.0,0.0,0.0,0,4.0,4.0,23.0,1,6.5,6.5,19.0,1,11.8,5.9,25.5,2,0,2,24,8,6,74,33,41,2.11,0
Serie A,FC Internazionale,2011,41.6,3.782,24.273,4.1,4.1,25.0,1,13.3,4.433,23.0,3,15.0,3.75,24.75,4,9.2,3.067,24.667,3,55.95,7.993,25.714,8.5,8.5,26.0,1,5.65,5.65,20.0,1,13.0,6.5,26.5,2,28.8,9.6,27.0,3,0,6,17,7,14,58,55,3,1.53,1
Serie A,Juventus FC,2011,101.83,6.364,24.875,0.0,0.0,0.0,0,15.68,3.92,23.75,4,28.15,4.692,23.667,6,58.0,9.667,26.833,6,20.7,2.3,25.111,1.5,1.5,21.0,1,3.1,1.55,22.0,2,12.6,3.15,26.5,4,3.5,1.75,27.5,2,0,1,23,15,0,68,20,48,2.21,0
Serie A,SS Lazio,2011,22.84,2.855,26.625,5.2,5.2,28.0,1,4.8,2.4,28.0,2,4.55,1.517,25.667,3,8.29,4.145,26.0,2,26.38,3.769,26.714,6.75,6.75,25.0,1,10.13,5.065,24.0,2,0.3,0.3,31.0,1,9.2,3.067,27.667,3,0,4,18,8,12,56,47,9,1.63,0
Serie A,SSC Napoli,2011,72.7,7.27,24.7,2.9,2.9,28.0,1,14.5,4.833,23.0,3,27.0,13.5,26.0,2,28.3,7.075,24.5,4,23.79,2.379,25.4,0.0,0.0,0.0,0,8.39,2.097,22.0,4,4.65,1.162,28.5,4,10.75,5.375,26.0,2,0,5,16,13,9,66,46,20,1.61,0
Serie A,Udinese Calcio,2011,21.111,2.111,23.6,1.5,1.5,24.0,1,5.0,2.5,24.0,2,6.111,1.222,23.6,5,8.5,4.25,23.0,2,70.63,5.045,24.5,0.5,0.5,25.0,1,13.05,4.35,23.667,3,23.0,3.833,25.167,6,34.08,8.52,24.0,4,0,3,18,10,10,52,35,17,1.68,1
