league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,PF,Rk,W,D,L,GF,GA,GD,Pts/MP,PF_next_5_years
Primera Division,Levante UD,2011,1.55,0.387,24.25,0.15,0.15,24.0,1,0.2,0.2,27.0,1,0.2,0.2,24.0,1,1.0,1.0,22.0,1,8.0,4.0,26.5,0.0,0.0,0.0,0,0.5,0.5,31.0,1,0.0,0.0,0.0,0,7.5,7.5,22.0,1,0,6,16,7,15,54,50,4,1.45,2
Primera Division,Málaga CF,2011,59.25,7.406,25.625,0.0,0.0,0.0,0,10.55,3.517,27.0,3,44.5,11.125,23.75,4,4.2,4.2,29.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,4,17,7,14,54,53,1,1.53,1
Primera Division,Real Madrid,2011,56.0,14.0,21.75,0.0,0.0,0.0,0,41.0,20.5,20.5,2,10.0,10.0,22.0,1,5.0,5.0,24.0,1,8.0,2.667,23.0,0.0,0.0,0.0,0,5.5,5.5,24.0,1,2.5,1.25,22.5,2,0.0,0.0,0.0,0,0,1,32,4,2,121,32,89,2.63,0
Primera Division,Valencia CF,2011,34.0,4.857,23.0,3.0,3.0,26.0,1,15.5,5.167,23.667,3,8.0,4.0,21.0,2,7.5,7.5,22.0,1,32.9,10.967,25.667,0.0,0.0,0.0,0,0.0,0.0,0.0,0,28.7,14.35,24.0,2,4.2,4.2,29.0,1,0,3,17,10,11,59,44,15,1.61,1
Primera Division,Athletic Bilbao,2011,7.5,7.5,21.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,7.5,7.5,21.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,10,12,13,13,49,52,-3,1.29,2
Primera Division,CA Osasuna,2011,2.6,0.867,22.333,0.0,0.0,0.0,0,0.1,0.1,22.0,1,0.0,0.0,0.0,0,2.5,1.25,22.5,2,8.3,4.15,27.5,0.0,0.0,0.0,0,6.0,6.0,25.0,1,0.0,0.0,0.0,0,2.3,2.3,30.0,1,1,7,13,15,10,44,61,-17,1.42,2
Primera Division,Getafe CF,2011,3.3,1.65,22.5,0.0,0.0,0.0,0,0.3,0.3,26.0,1,0.0,0.0,0.0,0,3.0,3.0,19.0,1,18.58,3.716,25.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,14.08,3.52,24.5,4,4.5,4.5,27.0,1,1,11,12,11,15,40,51,-11,1.24,2
Primera Division,RCD Espanyol Barcelona,2011,6.5,2.167,22.0,0.0,0.0,0.0,0,2.5,2.5,23.0,1,4.0,2.0,21.5,2,0.0,0.0,0.0,0,25.0,6.25,26.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,4.0,2.0,28.5,2,21.0,10.5,24.5,2,1,14,12,10,16,46,56,-10,1.21,1
Primera Division,RCD Mallorca,2011,3.6,0.9,24.25,0.0,0.0,0.0,0,0.6,0.3,25.0,2,0.0,0.0,0.0,0,3.0,1.5,23.5,2,9.75,3.25,25.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9.0,4.5,23.0,2,0.75,0.75,29.0,1,1,8,14,10,14,42,46,-4,1.37,2
Primera Division,Real Betis Balompié,2011,3.435,0.859,26.5,0.0,0.0,0.0,0,0.585,0.292,27.0,2,1.35,1.35,22.0,1,1.5,1.5,30.0,1,4.5,4.5,29.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,4.5,4.5,29.0,1,0.0,0.0,0.0,0,1,13,13,8,17,47,56,-9,1.24,2
