league_name,club_name,year,Rk,PF,W,D,L,GF,GA,GD,Pts/MP,PF_next_3_years
1 Bundesliga,TSG 1899 Hoffenheim,2012,16,2,8,7,19,42,67,-25,0.91,2
1 Bundesliga,Bayer 04 Leverkusen,2013,4,0,19,4,11,60,41,19,1.79,1
1 Bundesliga,Bayern Munich,2013,1,0,29,3,2,94,23,71,2.65,0
1 Bundesliga,Borussia Dortmund,2013,2,0,22,5,7,80,38,42,2.09,0
1 Bundesliga,Borussia Mönchengladbach,2013,6,0,16,7,11,59,43,16,1.62,1
1 Bundesliga,FC Schalke 04,2013,3,0,19,7,8,63,43,20,1.88,1
1 Bundesliga,VfL Wolfsburg,2013,5,0,18,6,10,63,50,13,1.76,2
1 Bundesliga,1.FSV Mainz 05,2013,7,1,16,5,13,52,54,-2,1.56,2
1 Bundesliga,Eintracht Frankfurt,2013,13,1,9,9,16,40,57,-17,1.06,1
1 Bundesliga,FC Augsburg,2013,8,1,15,7,12,47,47,0,1.53,1
1 Bundesliga,Hannover 96,2013,10,1,12,6,16,46,59,-13,1.24,2
1 Bundesliga,Hertha BSC,2013,11,1,11,8,15,40,48,-8,1.21,0
1 Bundesliga,SC Freiburg,2013,14,1,9,9,16,43,61,-18,1.06,1
1 Bundesliga,SV Werder Bremen,2013,12,1,10,9,15,42,66,-24,1.15,1
1 Bundesliga,TSG 1899 Hoffenheim,2013,9,1,11,11,12,72,70,2,1.29,0
1 Bundesliga,1.FC Nuremberg,2013,17,2,5,11,18,37,70,-33,0.76,2
1 Bundesliga,Eintracht Braunschweig,2013,18,2,6,7,21,29,60,-31,0.74,2
1 Bundesliga,Hamburger SV,2013,16,2,7,6,21,51,75,-24,0.79,1
1 Bundesliga,VfB Stuttgart,2013,15,2,8,8,18,49,62,-13,0.94,2
1 Bundesliga,Bayer 04 Leverkusen,2014,4,0,17,10,7,62,37,25,1.79,0
1 Bundesliga,Bayern Munich,2014,1,0,25,4,5,80,18,62,2.32,0
1 Bundesliga,Borussia Mönchengladbach,2014,3,0,19,9,6,53,26,27,1.94,1
1 Bundesliga,FC Augsburg,2014,5,0,15,4,15,43,43,0,1.44,1
1 Bundesliga,FC Schalke 04,2014,6,0,13,9,12,42,40,2,1.41,0
1 Bundesliga,VfL Wolfsburg,2014,2,0,20,9,5,72,38,34,2.03,2
1 Bundesliga,1. FC Köln,2014,12,1,9,13,12,34,40,-6,1.18,2
1 Bundesliga,1.FSV Mainz 05,2014,11,1,9,13,12,45,47,-2,1.18,1
1 Bundesliga,Borussia Dortmund,2014,7,1,13,7,14,47,42,5,1.35,0
1 Bundesliga,Eintracht Frankfurt,2014,9,1,11,10,13,56,62,-6,1.26,1
1 Bundesliga,Hannover 96,2014,13,1,9,10,15,40,56,-16,1.09,1
1 Bundesliga,SV Werder Bremen,2014,10,1,11,10,13,50,65,-15,1.26,1
1 Bundesliga,TSG 1899 Hoffenheim,2014,8,1,12,8,14,49,55,-6,1.29,0
1 Bundesliga,VfB Stuttgart,2014,14,1,9,9,16,42,60,-18,1.06,1
1 Bundesliga,Hamburger SV,2014,16,2,9,8,17,25,50,-25,1.03,2
1 Bundesliga,Hertha BSC,2014,15,2,9,8,17,36,52,-16,1.03,1
1 Bundesliga,SC Freiburg,2014,17,2,7,13,14,36,47,-11,1.0,2
1 Bundesliga,SC Paderborn 07,2014,18,2,7,10,17,31,65,-34,0.91,2
1 Bundesliga,1.FSV Mainz 05,2015,6,0,14,8,12,46,42,4,1.47,1
1 Bundesliga,Bayer 04 Leverkusen,2015,3,0,18,6,10,56,40,16,1.76,0
1 Bundesliga,Bayern Munich,2015,1,0,28,4,2,80,17,63,2.59,0
1 Bundesliga,Borussia Dortmund,2015,2,0,24,6,4,82,34,48,2.29,0
1 Bundesliga,Borussia Mönchengladbach,2015,4,0,17,4,13,67,50,17,1.62,0
1 Bundesliga,FC Schalke 04,2015,5,0,15,7,12,51,49,2,1.53,1
1 Bundesliga,1. FC Köln,2015,9,1,10,13,11,38,42,-4,1.26,2
1 Bundesliga,FC Augsburg,2015,12,1,9,11,14,42,52,-10,1.12,2
1 Bundesliga,FC Ingolstadt 04,2015,11,1,10,10,14,33,42,-9,1.18,2
1 Bundesliga,Hamburger SV,2015,10,1,11,8,15,40,46,-6,1.21,2
1 Bundesliga,Hertha BSC,2015,7,1,14,8,12,42,42,0,1.47,1
1 Bundesliga,SV Darmstadt 98,2015,14,1,9,11,14,38,53,-15,1.12,2
1 Bundesliga,SV Werder Bremen,2015,13,1,10,8,16,50,65,-15,1.12,1
1 Bundesliga,VfL Wolfsburg,2015,8,1,12,9,13,47,49,-2,1.32,0
1 Bundesliga,Eintracht Frankfurt,2015,16,2,9,9,16,34,52,-18,1.06,1
1 Bundesliga,Hannover 96,2015,18,2,7,4,23,31,62,-31,0.74,2
1 Bundesliga,TSG 1899 Hoffenheim,2015,15,2,9,10,15,39,54,-15,1.09,1
1 Bundesliga,VfB Stuttgart,2015,17,2,9,6,19,50,75,-25,0.97,2
1 Bundesliga,1. FC Köln,2016,5,0,12,13,9,51,42,9,1.44,1
1 Bundesliga,Bayern Munich,2016,1,0,25,7,2,89,22,67,2.41,0
1 Bundesliga,Borussia Dortmund,2016,3,0,18,10,6,72,40,32,1.88,0
1 Bundesliga,Hertha BSC,2016,6,0,15,4,15,43,47,-4,1.44,1
1 Bundesliga,RB Leipzig,2016,2,0,20,7,7,66,39,27,1.97,0
1 Bundesliga,TSG 1899 Hoffenheim,2016,4,0,16,14,4,64,37,27,1.82,0
1 Bundesliga,Bayer 04 Leverkusen,2016,12,1,11,8,15,53,55,-2,1.21,0
1 Bundesliga,Borussia Mönchengladbach,2016,9,1,12,9,13,45,49,-4,1.32,0
1 Bundesliga,Eintracht Frankfurt,2016,11,1,11,9,14,36,43,-7,1.24,1
1 Bundesliga,FC Augsburg,2016,13,1,9,11,14,35,51,-16,1.12,2
1 Bundesliga,FC Schalke 04,2016,10,1,11,10,13,45,40,5,1.26,1
1 Bundesliga,Hamburger SV,2016,14,1,10,8,16,33,61,-28,1.12,2
1 Bundesliga,SC Freiburg,2016,7,1,14,6,14,42,60,-18,1.41,1
1 Bundesliga,SV Werder Bremen,2016,8,1,13,6,15,61,64,-3,1.32,2
1 Bundesliga,1.FSV Mainz 05,2016,15,2,10,7,17,44,55,-11,1.09,1
1 Bundesliga,FC Ingolstadt 04,2016,17,2,8,8,18,36,57,-21,0.94,2
1 Bundesliga,SV Darmstadt 98,2016,18,2,7,4,23,28,63,-35,0.74,2
1 Bundesliga,VfL Wolfsburg,2016,16,2,10,7,17,34,52,-18,1.09,1
Primera Division,FC Barcelona,2009,1,0,31,6,1,98,24,74,2.61,0
Primera Division,Getafe CF,2009,6,0,17,7,14,58,48,10,1.53,1
Primera Division,RCD Mallorca,2009,5,0,18,8,12,59,44,15,1.63,2
Primera Division,Real Madrid,2009,2,0,31,3,4,102,35,67,2.53,0
Primera Division,Sevilla FC,2009,4,0,19,6,13,65,49,16,1.66,1
Primera Division,Valencia CF,2009,3,0,21,8,9,59,40,19,1.87,0
Primera Division,Athletic Bilbao,2009,8,1,15,9,14,50,53,-3,1.42,1
Primera Division,CA Osasuna,2009,12,1,11,10,17,37,46,-9,1.13,2
Primera Division,Deportivo de La Coruña,2009,10,1,13,8,17,35,49,-14,1.24,2
Primera Division,RCD Espanyol Barcelona,2009,11,1,11,11,16,29,46,-17,1.16,1
Primera Division,Real Zaragoza,2009,14,1,10,11,17,46,64,-18,1.08,2
Primera Division,UD Almería,2009,13,1,10,12,16,43,55,-12,1.11,2
Primera Division,Villarreal CF,2009,7,1,16,8,14,58,57,1,1.47,2
Primera Division,CD Tenerife,2009,19,2,9,9,20,40,74,-34,0.95,2
Primera Division,Málaga CF,2009,17,2,7,16,15,42,48,-6,0.97,0
Primera Division,Racing Santander,2009,16,2,9,12,17,42,59,-17,1.03,2
Primera Division,Real Valladolid CF,2009,18,2,7,15,16,37,62,-25,0.95,2
Primera Division,Sporting Gijón,2009,15,2,9,13,16,36,51,-15,1.05,2
Primera Division,Xerez CD,2009,20,2,8,10,20,38,66,-28,0.89,2
Primera Division,Athletic Bilbao,2010,6,0,18,4,16,59,55,4,1.53,0
Primera Division,FC Barcelona,2010,1,0,30,6,2,95,21,74,2.53,0
Primera Division,Real Madrid,2010,2,0,29,5,4,102,33,69,2.42,0
Primera Division,Sevilla FC,2010,5,0,17,7,14,62,61,1,1.53,0
Primera Division,Valencia CF,2010,3,0,21,8,9,64,44,20,1.87,1
Primera Division,Villarreal CF,2010,4,0,18,8,12,54,44,10,1.63,0
Primera Division,CA Osasuna,2010,9,1,13,8,17,45,46,-1,1.24,2
Primera Division,Málaga CF,2010,11,1,13,7,18,54,68,-14,1.21,1
Primera Division,RCD Espanyol Barcelona,2010,8,1,15,4,19,46,55,-9,1.29,1
Primera Division,Racing Santander,2010,12,1,12,10,16,41,56,-15,1.21,2
Primera Division,Real Zaragoza,2010,13,1,12,9,17,40,53,-13,1.18,2
Primera Division,Sporting Gijón,2010,10,1,11,14,13,35,42,-7,1.24,2
Primera Division,Deportivo de La Coruña,2010,18,2,10,13,15,31,47,-16,1.13,2
Primera Division,Getafe CF,2010,16,2,12,8,18,49,60,-11,1.16,1
Primera Division,Hércules CF,2010,19,2,9,8,21,36,60,-24,0.92,2
Primera Division,RCD Mallorca,2010,17,2,12,8,18,41,56,-15,1.16,2
Primera Division,Real Sociedad,2010,15,2,14,3,21,49,66,-17,1.18,1
Primera Division,UD Almería,2010,20,2,6,12,20,36,70,-34,0.79,2
Primera Division,FC Barcelona,2011,2,0,28,7,3,114,29,85,2.39,0
Primera Division,Levante UD,2011,6,0,16,7,15,54,50,4,1.45,1
Primera Division,Málaga CF,2011,4,0,17,7,14,54,53,1,1.53,1
Primera Division,Real Madrid,2011,1,0,32,4,2,121,32,89,2.63,0
Primera Division,Valencia CF,2011,3,0,17,10,11,59,44,15,1.61,0
Primera Division,Athletic Bilbao,2011,10,1,12,13,13,49,52,-3,1.29,1
Primera Division,CA Osasuna,2011,7,1,13,15,10,44,61,-17,1.42,2
Primera Division,Getafe CF,2011,11,1,12,11,15,40,51,-11,1.24,2
Primera Division,RCD Espanyol Barcelona,2011,14,1,12,10,16,46,56,-10,1.21,1
Primera Division,RCD Mallorca,2011,8,1,14,10,14,42,46,-4,1.37,2
Primera Division,Real Betis Balompié,2011,13,1,13,8,17,47,56,-9,1.24,2
Primera Division,Real Sociedad,2011,12,1,12,11,15,46,52,-6,1.24,1
Primera Division,Sevilla FC,2011,9,1,13,11,14,48,47,1,1.32,0
Primera Division,Granada CF,2011,17,2,12,6,20,35,56,-21,1.11,2
Primera Division,Racing Santander,2011,20,2,4,15,19,28,63,-35,0.71,2
Primera Division,Rayo Vallecano,2011,15,2,13,4,21,53,73,-20,1.13,1
